,Eigenvector_value,L140_IRI,L149_IRI,L062_IRI,N048_IRI,N068_IRI,N090_IRI,N098_IRI,L005_IRI,L027_IRI,L031_IRI,L072_IRI,L074_IRI,L078_IRI,L102_IRI,L115_IRI,L133_IRI,L137_IRI
FAM193B,-0.0027373806553484072,-1.0327768417520893,-1.0801418705293067,0.4033444574159093,-1.2326504700687309,0.6917862088918654,0.1359543180593439,0.790913612414428,0.15737819502751593,1.9377353631919012,-1.5985640848108718,-0.40061219865496883,-0.0012536949700695577,-0.37028155302174476,0.18520531642065252,2.0115146941209807,-0.8318585691624559,0.23430711742764174
ZNF71,-0.0024321197571987806,0.4655937737494863,-0.6272424444776905,-0.1941047655475076,0.9431699517807711,-0.3205705413172166,-1.9266245300686573,0.13070480191436595,1.6626561320958262,-1.8565955372281469,1.2112209696601612,1.1156650411304287,-0.40508951530962867,-0.4592780729371531,0.14448775821114881,0.18060521486196415,-0.8185502237422538,0.7539519872240997
ATXN1,-0.006914790479331529,-0.5372995987251484,-0.9027589372748256,-0.8880640137062048,-1.110314933491967,0.3053710468533231,-1.0615031572036133,-0.8653518220571352,-0.2441444482131879,3.0202037313322507,-0.2043737576234469,0.5102997154353132,0.3777453560178683,0.005834625777050315,0.12028039232527002,1.2354529427938656,-0.038411052506812926,0.27703391026739493
DMWD,-0.004085651913979622,-0.1379221644444209,0.21302521510338288,0.34120398085928694,-1.9551851393020039,-0.16921267822905417,-0.8618831988971751,-1.7962160098826074,-0.14911775466204308,0.203737707978268,-0.6098497063314279,1.2290199056078153,2.375278685318585,0.32607204028028397,0.41205190417627713,-0.49319496881300373,0.6488745704140352,0.4233176108238024
CHD2,-0.0026938841965977985,-1.5262767085190243,-1.0091363982296786,0.12881878585209539,0.842890116406908,-0.20523604701792364,1.120971276494637,0.042741803643966784,-0.7536369248683233,0.9860130977814973,-0.7569531168474375,-0.9300497726156394,0.831393665907241,-0.5948905416626715,-0.37601982744926654,2.035767576809688,-0.7864999700253245,0.9501029843392577
ITPRIP,-0.0027570956220121182,-0.014939545451907484,-0.023398185687064695,0.09181498945997596,-0.9040346198369527,0.149588822908947,-0.6765174958603727,-0.4597141962351767,-0.6215652228540158,1.0003501393394547,-0.8878432896153645,-0.5780932871036846,0.5568697727030566,-0.5251191869960664,0.2896895890424731,3.358932031496414,-0.23208580030879658,-0.523934515000918
PLCB2,-0.0023719221324146485,-0.16722364887705493,0.031003772174613205,1.3101804153501098,0.06735059350413529,0.677175040292151,-1.2440339523572064,-1.3785167142265553,-1.265421855527111,1.1099283053045015,-0.7433759984244775,-0.26662417759347323,-0.4742069069527904,-0.13731405701350216,0.5016760898869138,1.244299930444373,1.6553220460975973,-0.9202188820822256
CCDC88C,-0.003940486345289865,0.030792647090095885,0.13115465090936837,-0.2339913264651755,-0.956427294124693,-0.6404581790690728,-0.5543284932113972,-0.6533620107528421,-0.9402229586628367,0.3739976709786809,0.34969612853421217,-0.6360416762962878,1.3094592605170836,-0.14811970515956474,-0.18730694537351025,3.148739334834953,0.30608471940107534,-0.699665823150088
PTAR1,-0.009441787850353227,-1.5387406661624872,-1.467914530874985,-0.9202895390059255,0.19850637823060113,-1.0487904207455525,-0.706357338669587,-0.1359023700992707,0.15545886493125552,-0.1834375172124294,2.55868989086458,0.06633202098214888,0.08410669271203053,0.38357176619713307,-0.26447708130156056,0.44951785783405257,1.1657594039428083,1.203966588377188
ZNF407,-0.0010652869233231256,-0.4225297532108537,0.5342799419024136,-0.4068623040076348,-0.01943122162144163,-1.7550861913198488,-0.46913148153372486,0.4067696157757047,-0.9755656026928431,0.8386478993915853,0.24364046007258883,-0.5432588209380473,0.954415908469962,-1.1198337641352203,-0.4946130460318489,1.2480008101808975,0.9386513981220947,1.0419061515762194
HS3ST3B1,-0.0048627637922743685,-0.9867526276372706,1.0401929226939177,-1.5045317500385451,-2.1049389803165766,0.4604366080286101,-0.3792381110827935,0.4982878664030829,0.7489643319161976,0.46410990074416214,0.3072633903104773,0.07707993144125287,-0.2316518207777,0.8796579221634514,0.13271516697554808,0.8256054671612515,1.4115504063234676,-1.638750624308534
FARS2,-0.0023800697970719946,0.188364899565729,-0.20059918639177066,-0.13511583417547807,-0.39622667325539856,-0.733869595710039,-0.5641328997403284,-0.5286752018145666,0.15043361051831075,2.719983828099337,-0.29015464814830755,-0.5082036761821661,-0.3478427443285596,0.14449911628697243,-0.43119581805906115,0.3535681102963117,0.9575915391838801,-0.37842482614486567
CDK6,-0.0016152665145748649,0.3049487001119274,0.324420120021738,-0.09381551032394234,-0.7420296802444135,0.24435193569575303,-1.1089314234798613,-0.9982371385455832,-1.3192968721758762,3.0512949998408914,0.08658197407053636,0.5162101684773073,-0.036890318355370495,-0.26733108207047535,-0.33890225345105046,0.3868912909949525,0.12428362840528202,-0.13354853897181349
TET2,-0.0020383758474518668,-0.43508616056309574,0.10053561536047426,-0.10245496987098779,-0.38502464716629553,-0.4066538699434524,-0.41703623275607865,-0.22615994054397648,-0.34944993697983323,3.6571982995200822,-0.4801320534466653,-0.38045306505425586,-0.3641344974282584,0.1356399891660175,-0.32994005626019124,-0.035254717525206404,0.20981624463269533,-0.19141000114097584
IFIT5,-0.0013413454301277772,0.8182232036861934,-0.04129622686053352,-1.0828735613805172,-0.0756784524786487,0.7173560266449999,-0.10329909986833404,-0.7176207276045157,0.04085272195239795,1.363909061200065,-1.3530281576188217,-1.3248409966527863,0.6618256986232967,1.6525406303292223,-1.0067617149039843,0.5695949970918265,1.290404930687821,-1.409308332847676
FGFBP3,-0.003988276701817333,0.42418152128749714,-1.3390287496159037,-0.14335974570917112,-1.0076607670815783,0.19849141240966137,-0.8164300973716151,-1.2407048087663242,-0.634156832599242,-0.9691572202470545,-0.7720844725717336,0.6530777101004537,0.27790046306969346,-0.5614218383720774,1.482263080302097,1.264548432169559,1.8175727301085287,1.3659691828872034
