tracking_id,L027,L072,L078,L140,L102,L115,L133,L137,L149,L074,N048,N068,N090,N098,L005,L101,L062,L031
MOB3A,34.6193,31.9309,48.2937,20.9901,33.3302,25.6699,31.709,30.5209,28.4235,35.1872,48.3718,35.2253,32.4177,27.08,27.6511,36.5384,27.6671,25.5938
MOB3B,0.455286,0.208109,0.38765,0.174951,0.64629,1.01065,0.530551,0.185881,0.171728,0.312827,0.391031,0.160702,0.385467,0.165806,0.253478,0.136553,0.714363,0.247267
MOB3C,6.45574,4.34911,4.28664,5.16458,4.25043,7.18352,4.30081,4.25806,4.72967,5.29767,4.12588,5.81622,4.97017,5.09602,7.46999,3.80071,4.44591,2.96735
MOB4,14.2857,15.1943,13.2488,9.04043,15.3966,12.5725,12.51,20.939,10.9035,13.8364,23.9926,10.5444,17.9648,18.5133,26.3819,23.9074,10.764,27.1445
MOBP,0,0,0,0.0382212,0.0295449,0,0.00511399,0,0.00989948,0,0,0.00494504,0,0.00251799,0.00621024,0,0,0
MOCOS,0.0126707,0.0230154,0.0427532,0.0206742,0.0546551,0.0718308,0.0108139,0,0.010471,0.0395346,0.0460021,0.0056361,0.0171242,0.0278406,0.0525274,0.0256401,0.010712,0.0636809
MOCS1,0.329184,0.287477,0.121248,0.320052,0.511417,0.117084,0.138953,0.311802,0.140457,0.209667,0.191342,0.396022,0.131644,0.195047,0.134638,0.131403,0.190882,0.604264
MOCS2,9.0928,7.08678,6.58541,7.5054,6.98557,12.4073,6.43977,7.56606,6.66231,7.60092,7.44339,6.69275,5.8612,6.61563,7.85957,7.74436,6.99653,7.34747
MOCS3,2.60975,2.96331,2.76023,3.10403,4.18394,3.93734,2.71778,3.0739,2.21094,2.50189,4.32578,3.16749,5.43367,5.25702,4.85135,3.97301,2.5157,4.39761
MOG,0,0.0280931,0,0.134212,0,0,0,0,0.00855839,0.00919945,0,0,0.0092834,0,0.0106745,0,0.00871572,0.0115173
MOGAT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOGAT2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOGAT3,0,0,0,0,0,0,0,0,0.0109282,0.0140375,0,0,0,0,0,0,0,0
MOGS,13.3674,14.1926,13.4507,31.7262,12.7333,13.8511,17.8863,15.9255,26.19,15.7639,19.2787,13.8784,14.1774,17.6063,16.2432,11.7245,17.0828,17.1685
MOK,0.316668,0.233306,0.142338,0.717665,0.234759,0.333722,0.24386,0.32686,0.42515,0.350881,0.226323,0.263046,0.319408,0.469051,0.434207,0.188754,0.189441,0.365981
MON1A,5.6117,3.21942,5.67052,2.43772,4.6012,5.95753,5.7776,2.0834,2.93202,5.44257,1.62071,4.78862,1.41196,1.86145,2.24923,2.14786,2.97284,2.65626
MON1B,9.35245,8.13544,9.90322,14.2078,9.71285,9.91986,10.9631,10.138,10.3004,8.41332,13.265,9.43598,11.9423,13.696,13.9091,8.79276,9.45189,9.42397
MON2,4.64472,4.24648,3.73753,5.90726,4.25145,3.13602,3.87596,3.66039,5.63049,3.81564,3.3518,5.18894,3.85841,4.3352,2.99819,3.65312,6.347,3.75773
MORC1,0,0,0.00867662,0,0.125077,0,0,0.00449815,0,0,0,0,0,0,0,0,0,0
MORC2,14.3207,9.27111,8.96163,15.4164,12.4965,8.72268,10.1614,11.6698,12.2696,10.5249,10.3327,16.051,13.1435,12.6576,9.07549,10.2524,12.2651,6.24639
MORC2-AS1,5.37005,5.84966,3.4636,7.23869,7.4746,3.38696,5.30487,6.41107,6.33397,4.54482,5.27303,8.88458,7.33489,5.91818,4.75667,7.11766,6.64008,2.67515
MORC3,22.2498,20.5554,16.5851,20.5046,19.4634,19.4761,18.029,24.8065,26.5195,18.9084,21.5544,22.1883,31.1558,29.7243,27.213,22.1827,26.4779,16.6545
MORC4,4.20563,3.63871,3.45946,3.03719,2.88917,2.91519,2.23021,3.81006,2.68611,4.07914,2.2743,4.32838,3.09977,3.33063,3.52929,3.78768,2.98387,2.62723
MORF4L1,181.226,186.603,173.473,111.908,170.16,199.618,161.419,258.785,132.717,177.11,265.115,148.493,209.213,236.452,306.604,222.047,132.437,216.051
MORF4L2,25.3962,22.381,21.3912,22.0649,23.1061,26.1782,23.8241,25.2383,22.6846,25.1521,32.4742,23.5899,27.4282,29.404,36.0263,23.9471,19.4988,23.3662
MORF4L2-AS1,0.0599898,0.092625,0.0346998,0.793063,0.08626,0.0309186,0.0614449,0.0778979,0.322117,0.0748784,0.0925775,0.170776,0.135132,0.110745,0.0248787,0.0546311,0.233295,0.0134108
MORN1,1.00028,0.922991,0.488886,2.92007,0.842512,0.804223,1.16493,1.08341,1.20093,0.671835,1.13569,1.25464,1.08572,1.39276,0.612658,0.862271,1.35923,0.840741
MORN2,1.86799,2.17976,1.988,1.05545,2.50231,1.88143,2.89025,2.37663,1.55369,2.18107,1.72477,2.06743,1.72248,2.41726,2.21239,1.41506,1.64586,3.45608
MORN3,3.54592,2.86837,1.9209,1.78531,0.742426,3.71007,2.4383,4.3692,1.78945,2.23641,2.70817,2.52173,3.71771,2.3339,1.65076,2.12932,5.72077,1.69233
MORN4,0.978788,0.490119,0.452251,0.505219,0.538062,0.583546,0.429799,0.301707,0.369058,0.640946,0.208927,0.755461,0.155802,0.259206,0.193859,0.276635,0.936865,0.273259
MORN5,0,0,0,0,0,0,0.0977939,0,0,0,0,0,0,0,0,0,0,0
MOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MOSPD1,5.1057,3.65256,4.03481,2.23514,4.25212,4.13006,3.66353,4.3492,2.57882,4.36406,3.49432,3.84276,3.86019,4.10322,5.32268,4.16427,3.55144,4.60064
MOSPD2,2.17359,1.13733,1.9879,3.52827,1.8845,2.18074,1.39192,2.0816,1.44703,1.43417,0.411256,2.18504,0.677011,1.09632,1.56874,1.28327,1.58564,0.678386
MOSPD3,13.6437,12.8348,18.4051,12.6858,13.3358,20.6658,13.1374,13.4971,9.94909,14.8376,14.9041,12.4185,10.259,10.6174,13.8108,21.5477,9.49038,19.3636
MOV10,14.8645,10.6744,14.1283,39.3711,9.87247,12.7704,15.1762,10.6348,29.6732,16.4337,9.19733,12.8423,13.9614,12.6714,8.92013,9.45213,17.7323,11.7178
MOV10L1,0,0,0.00427519,0.00362347,0.00425024,0,0.00378676,0,0.0365784,0,0.00402834,0.0157814,0.00799465,0,0,0.01379,0,0.0619563
MOXD1,0.241936,0.321989,0.043398,0.0826803,0.307432,0.841109,0.763742,0.163024,0.0975757,1.3542,0.178813,0.0901022,0.197749,0.0148415,0.11666,0.119574,0.290191,1.87278
MOXD2P,0,0,0,0.0791327,0,0,0,0,0,0,0,0,0.021932,0,0,0,0.0102986,0
MPC1,20.2093,25.7235,30.676,20.8788,21.811,35.8634,28.8472,29.6885,20.0877,23.7949,26.9816,18.0004,18.769,25.1915,26.1149,30.1373,19.7698,40.2759
MPC1L,0,0,0,0,0.0390951,0,0,0,0.0349681,0,0,0.0362907,0,0,0,0,0,0
MPC2,15.7417,14.2094,14.2032,8.30589,16.3434,24.6535,20.175,16.5132,10.4242,17.2406,17.7604,12.2771,11.3735,12.078,17.8247,17.1155,9.98878,20.3264
MPDU1,15.2523,15.8279,26.68,12.9755,15.8181,21.3187,31.3551,13.474,18.0295,21.8136,11.8535,14.4838,9.97462,13.1999,14.5093,14.1838,13.5069,22.0591
MPDZ,0.00220005,0.00800554,0.0148658,0.0072123,0.0633339,0,0,0.00440765,0.0250732,0,0,0,0.0139029,0,0,0,0,0
MPEG1,5.87844,7.28923,71.9593,0.368675,5.4217,12.5902,21.3579,1.16641,5.54272,5.75417,6.27846,3.73238,5.75768,1.19366,16.6319,1.93135,7.25308,0.957261
MPG,36.6793,34.9152,40.0039,34.958,41.4882,60.426,59.4783,36.5031,29.196,43.3097,36.6163,30.5254,22.9267,28.2177,24.7924,46.0657,30.7799,56.2145
MPHOSPH10,16.6748,16.9406,12.4028,15.4269,15.6675,9.41406,12.8055,25.3176,14.6051,12.4194,24.5034,17.474,24.1577,25.8242,27.9893,22.6038,15.5867,12.4378
MPHOSPH6,19.5267,17.5562,14.1409,9.4128,10.734,15.2671,15.022,6.73755,15.8453,18.4367,4.83201,19.5675,5.84878,6.02366,7.2251,10.8954,18.6935,13.0069
MPHOSPH8,16.0389,20.818,14.6418,36.5897,15.1652,12.9577,20.0603,25.3683,25.6049,14.3346,18.7727,27.0777,19.4202,20.8645,11.4837,15.9881,23.4175,10.0774
MPHOSPH9,3.95941,3.00457,2.96099,8.34176,3.36573,3.56089,4.98038,4.54712,7.24258,3.80778,4.86564,4.32041,5.36582,5.02292,4.18698,3.73325,6.53531,3.28961
MPI,29.8425,19.074,16.2157,20.6522,25.1875,28.6904,23.4868,23.3185,15.5762,24.9308,13.1023,26.5422,13.52,15.7981,20.1372,29.208,18.2621,28.2726
MPL,0.023286,0.110021,0.220055,0.0342511,0.433084,0,0.0278436,0.0279361,0.0999034,0.0207564,0.0211565,0.0207184,0.163735,0.0245842,0.0386416,0.00471451,0.00787677,0.0468231
MPLKIP,29.2446,13.881,23.3191,13.003,21.4661,37.7069,27.9776,13.7102,14.6058,27.6297,12.4316,19.8865,11.2689,10.9464,15.2759,15.4533,14.3323,15.9443
MPND,10.1055,10.8749,14.9547,10.4706,11.1526,14.2902,13.1971,11.3728,8.05384,11.292,7.7004,10.9006,7.8053,8.70016,9.75512,14.2112,8.78109,15.902
