,L140,L149,L062,N048,N068,N090,N098,L005,L027,L031,L072,L074,L078,L102,L115,L133,L137
APAF1,0.0226037279647,0.019682446,0.0140286324057,0.024461332000000002,0.00913756345755,0.026153403,0.023439860871599997,0.017950857178099997,0.005617404313300001,0.00831802601999,0.011279076,0.00582203618076,0.00474554336232,0.00598547892909,0.00408917,0.00875439235687,0.0148187912474
RRP15,0.0251447641897,0.020578008999999998,0.0164059959261,0.025112375,0.0113302149065,0.024939021000000002,0.0263631654025,0.0104170696406,0.011072734891999999,0.0110182674117,0.012367106999999999,0.00818145149262,0.010576421519500001,0.0133919319489,0.006020845,0.010614257675600001,0.025499473536900002
EXOSC10,0.0260123861625,0.021414864,0.017599530202599998,0.014808818999999999,0.012036261148099999,0.028757025,0.020498068882,0.0023503433119899998,0.00172857455221,0.00177417966139,0.008337066,0.0014354364568800002,0.00104898818395,0.0018323791979300002,0.001067941,0.00303581059456,0.0118449206137
CPQ,0.000477515874667,0.00054053,0.000430658509227,0.000727988,0.000284258398833,0.000563551,0.0005385490374259999,0.0006589435653619999,0.0007199683965980001,0.00034405436882999996,0.000407835,0.000225379039893,0.000262097054154,0.00046715572110599997,0.00048839,0.000626981713574,0.0006719270930970001
POR,0.00581604808494,0.004288409,0.00456085127141,0.003762685,0.0030049859664899995,0.005101282,0.005486890513449999,0.0015087151101600001,0.00123263370309,0.000966183652022,0.001683504,0.000975120812325,0.000666285603168,0.00105792797938,0.000494376,0.00130188440893,0.00308250166072
ZNF589,0.024093780263,0.031905398,0.00876583191894,0.013177932,0.011148487901600002,0.025339062000000002,0.0153766086006,0.00626006352987,0.00806091854454,0.00608674502822,0.005963133000000001,0.007557413742399999,0.008078206126660001,0.00683617939686,0.002659842,0.0063729441317700005,0.00749186803444
FBXO4,0.129651966641,0.094671605,0.08204981456180001,0.142667036,0.0836534956586,0.174765355,0.127582542474,0.08527697529850001,0.041685133658,0.07695505152389999,0.074800165,0.04388219541090001,0.0394142884454,0.0629401461095,0.055500327,0.0441747484347,0.107607759007
ID2,0.118726146685,0.075377958,0.033865687211,0.019010798,0.045807100609,0.028952829,0.0345019523713,0.010374534514,0.0249607980577,0.0041750316727199996,0.019672093999999998,0.015394321405,0.008802056202629999,0.013619604205,0.021158596000000002,0.012809774674799998,0.0186393839192
MKRN1,0.0101409964758,0.00772694,0.00501467389234,0.001644738,0.00302114473491,0.004346249,0.0033409482874000003,0.000495027670243,0.00202139360513,0.00042935160375400004,0.002214398,0.000952897835381,0.0008759991102,0.00102475141323,0.0007555760000000001,0.0013133249795999997,0.0016654694722899998
DUSP2,0.15891440787900002,0.154697844,0.13454940138399998,0.054746109,0.269496941486,0.10434617,0.104581749078,0.0647760567497,0.18005514212999998,0.0157136717265,0.091068013,0.09456813788039999,0.0764108175369,0.0931967465528,0.090086977,0.0765666300061,0.07291668289480001
